EngineSize,Cylinders,FuelType,FuelC
3.50,6.00,4.00,16.00
2.00,4.00,2.00,9.30
2.00,4.00,2.00,9.30
2.00,4.00,4.00,12.60
2.50,4.00,2.00,10.60
2.00,4.00,2.00,9.20
2.00,4.00,2.00,9.20
2.00,4.00,4.00,12.50
2.50,4.00,2.00,10.70
2.00,4.00,1.00,10.90
2.00,4.00,1.00,10.30
3.30,6.00,1.00,11.60
3.30,6.00,1.00,11.90
3.80,6.00,2.00,11.70
5.00,8.00,1.00,13.20
3.30,6.00,1.00,11.90
5.00,8.00,1.00,13.00
2.50,4.00,2.00,10.20
3.60,6.00,2.00,11.40
2.50,4.00,2.00,10.50
3.60,6.00,2.00,11.70
2.50,4.00,2.00,10.80
2.50,4.00,2.00,10.70
2.80,4.00,3.00,10.10
3.60,6.00,2.00,11.70
2.50,4.00,2.00,11.40
2.80,4.00,3.00,10.50
3.60,6.00,2.00,12.20
2.70,4.00,2.00,11.10
4.30,6.00,2.00,13.50
5.30,8.00,2.00,13.90
5.30,8.00,2.00,14.00
5.30,8.00,4.00,18.40
5.30,8.00,2.00,12.50
2.70,4.00,2.00,11.80
4.30,6.00,2.00,14.00
5.30,8.00,2.00,14.00
5.30,8.00,2.00,14.40
5.30,8.00,4.00,19.40
5.30,8.00,2.00,13.50
5.30,8.00,2.00,13.70
6.20,8.00,1.00,13.90
6.20,8.00,1.00,14.20
5.30,8.00,2.00,13.50
5.30,8.00,2.00,13.80
1.50,4.00,2.00,8.60
1.60,4.00,3.00,7.40
1.50,4.00,2.00,9.00
1.60,4.00,3.00,7.40
2.00,4.00,1.00,10.20
5.30,8.00,2.00,13.40
5.30,8.00,2.00,13.40
5.30,8.00,4.00,17.90
5.30,8.00,2.00,13.70
5.30,8.00,2.00,13.70
5.30,8.00,4.00,18.40
6.20,8.00,1.00,13.80
5.30,8.00,2.00,13.40
5.30,8.00,2.00,13.40
5.30,8.00,4.00,17.90
5.30,8.00,2.00,14.30
5.30,8.00,2.00,14.30
5.30,8.00,4.00,19.00
6.20,8.00,1.00,14.50
1.50,4.00,2.00,7.20
1.50,4.00,2.00,7.60
1.50,4.00,2.00,7.90
2.00,4.00,2.00,9.20
2.00,4.00,2.00,9.10
2.00,4.00,2.00,5.00
1.50,4.00,2.00,7.20
2.00,4.00,2.00,7.10
2.00,4.00,2.00,7.50
2.00,4.00,2.00,8.10
1.50,4.00,1.00,7.40
1.50,4.00,2.00,6.90
1.50,4.00,2.00,7.30
1.50,4.00,2.00,7.20
1.50,4.00,1.00,7.30
1.50,4.00,1.00,7.20
1.50,4.00,2.00,7.10
2.00,4.00,2.00,7.10
2.00,4.00,2.00,8.00
1.50,4.00,1.00,7.40
2.00,4.00,1.00,9.60
1.50,4.00,2.00,7.80
1.50,4.00,2.00,8.00
1.50,4.00,2.00,6.50
1.50,4.00,2.00,7.00
1.50,4.00,2.00,7.40
1.80,4.00,2.00,7.80
1.80,4.00,2.00,8.20
1.80,4.00,2.00,8.50
1.50,4.00,2.00,4.90
1.50,4.00,2.00,4.90
3.50,6.00,2.00,10.70
3.50,6.00,2.00,10.60
3.50,6.00,2.00,11.30
3.50,6.00,2.00,10.70
3.50,6.00,2.00,11.30
3.50,6.00,2.00,11.00
3.50,6.00,2.00,11.30
1.60,4.00,2.00,7.30
1.60,4.00,2.00,7.30
1.60,4.00,2.00,8.10
1.60,4.00,2.00,9.40
2.00,4.00,2.00,7.40
2.00,4.00,2.00,8.00
1.60,4.00,2.00,8.60
1.60,4.00,2.00,9.20
2.00,4.00,2.00,8.40
2.00,4.00,2.00,8.70
1.60,4.00,2.00,4.30
1.60,4.00,2.00,4.10
2.00,4.00,2.00,7.90
1.60,4.00,2.00,8.60
2.00,4.00,2.00,8.60
2.40,4.00,2.00,9.60
2.00,4.00,2.00,11.20
2.40,4.00,2.00,10.10
3.30,6.00,2.00,11.50
3.30,6.00,2.00,11.70
3.30,6.00,2.00,12.60
2.00,4.00,2.00,9.10
2.40,4.00,2.00,8.30
2.40,4.00,2.00,8.10
2.00,4.00,2.00,5.70
2.00,4.00,2.00,5.60
2.00,4.00,2.00,9.10
2.00,4.00,2.00,10.10
2.40,4.00,2.00,10.10
2.00,4.00,2.00,8.20
2.00,4.00,2.00,8.40
2.00,4.00,2.00,9.50
1.60,4.00,2.00,7.80
1.60,4.00,2.00,8.30
2.00,4.00,1.00,9.70
3.00,6.00,1.00,10.80
3.00,6.00,1.00,11.10
2.00,4.00,1.00,10.00
3.00,6.00,1.00,10.70
3.00,6.00,1.00,11.00
3.70,6.00,1.00,11.70
5.60,8.00,1.00,12.80
2.00,4.00,1.00,9.00
3.50,6.00,1.00,10.90
5.60,8.00,1.00,15.10
2.00,4.00,1.00,9.80
2.00,4.00,3.00,8.10
2.00,4.00,1.00,9.90
3.00,6.00,1.00,11.80
2.00,4.00,1.00,9.20
3.00,6.00,1.00,10.40
3.00,6.00,1.00,12.60
3.00,6.00,1.00,10.80
3.00,6.00,1.00,12.90
3.00,6.00,1.00,11.30
2.00,4.00,1.00,9.20
3.00,6.00,1.00,10.40
3.00,6.00,1.00,12.60
3.00,6.00,1.00,10.80
3.00,6.00,1.00,12.90
3.00,6.00,1.00,11.30
5.00,8.00,1.00,13.30
5.00,8.00,1.00,13.30
2.00,4.00,3.00,6.90
2.00,4.00,1.00,8.50
3.00,6.00,1.00,10.20
2.00,4.00,3.00,6.90
2.00,4.00,1.00,8.80
3.00,6.00,1.00,10.40
3.00,6.00,1.00,11.80
3.00,6.00,1.00,11.90
5.00,8.00,1.00,13.30
2.00,4.00,2.00,9.10
2.40,4.00,2.00,9.30
3.20,6.00,2.00,10.20
2.00,4.00,2.00,9.80
2.40,4.00,2.00,9.80
3.20,6.00,2.00,10.60
2.00,4.00,2.00,10.20
3.20,6.00,2.00,11.10
2.00,4.00,2.00,10.60
3.20,6.00,2.00,11.60
2.40,4.00,2.00,9.30
2.40,4.00,2.00,9.00
2.40,4.00,2.00,9.50
2.40,4.00,2.00,9.40
3.60,6.00,2.00,11.30
5.70,8.00,2.00,14.10
3.00,6.00,3.00,10.00
6.40,8.00,1.00,15.70
6.20,8.00,1.00,17.70
1.30,4.00,2.00,8.70
2.40,4.00,2.00,9.50
1.30,4.00,2.00,9.20
2.40,4.00,2.00,9.80
1.30,4.00,2.00,9.90
2.00,4.00,2.00,10.00
3.60,6.00,2.00,11.80
3.60,6.00,2.00,11.80
2.00,4.00,2.00,10.50
3.60,6.00,2.00,11.70
3.60,6.00,2.00,12.20
3.30,6.00,2.00,10.20
2.00,4.00,2.00,6.90
2.00,4.00,2.00,7.60
1.60,4.00,2.00,4.80
1.60,4.00,2.00,4.70
1.60,4.00,2.00,5.40
2.00,4.00,2.00,9.70
2.40,4.00,2.00,8.40
2.00,4.00,2.00,5.70
1.60,4.00,2.00,7.50
1.60,4.00,2.00,7.50
3.30,6.00,2.00,11.50
