Merk,Engine-Size,Cylinders,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,
Chevrolet,1.40,4.00,X,7.90,6.20,7.10,
Chevrolet,1.40,4.00,X,8.00,6.20,7.20,
Chevrolet,5.30,8.00,X,15.70,10.50,13.40,
Chevrolet,5.30,8.00,X,15.70,10.50,13.40,
Chevrolet,5.30,8.00,E,21.20,13.90,17.90,
Chevrolet,5.30,8.00,X,16.80,11.30,14.30,
Chevrolet,5.30,8.00,X,16.80,11.30,14.30,
Chevrolet,5.30,8.00,E,22.20,15.20,19.00,
Chevrolet,6.20,8.00,Z,17.10,11.30,14.50,
Chevrolet,5.30,8.00,X,15.70,10.50,13.40,
Chevrolet,5.30,8.00,X,15.70,10.50,13.40,
Chevrolet,5.30,8.00,E,21.20,13.90,17.90,
Chevrolet,5.30,8.00,X,15.80,11.10,13.70,
Chevrolet,5.30,8.00,X,15.80,11.10,13.70,
Chevrolet,5.30,8.00,E,21.70,14.30,18.40,
Chevrolet,6.20,8.00,Z,16.40,10.70,13.80,
Chevrolet,3.60,6.00,X,13.00,8.80,11.10,
Chevrolet,3.60,6.00,X,13.70,9.50,11.80,
Chevrolet,1.40,4.00,X,9.10,7.60,8.40,
Chevrolet,1.40,4.00,X,9.40,6.90,8.30,
Chevrolet,1.40,4.00,X,9.90,8.10,9.10,
Chrysler,3.60,6.00,X,12.40,7.80,10.30,
Chrysler,3.60,6.00,X,12.40,7.80,10.30,
Chrysler,3.60,6.00,E,17.10,10.60,14.20,
Chrysler,5.70,8.00,X,14.70,9.40,12.30,
Chrysler,3.60,6.00,X,12.80,8.70,11.00,
Chrysler,3.60,6.00,X,12.80,8.70,11.00,
Chrysler,3.60,6.00,E,17.60,12.00,15.00,
Chrysler,3.60,6.00,X,12.90,8.40,10.90,
Chrysler,3.60,6.00,X,12.40,8.40,10.60,
Dodge,3.60,6.00,X,12.40,7.80,10.30,
Dodge,5.70,8.00,Z,15.60,10.10,13.10,
Dodge,6.40,8.00,Z,16.70,10.40,13.90,
Dodge,5.70,8.00,X,14.70,9.40,12.30,
Dodge,6.40,8.00,Z,15.80,9.60,13.00,
Dodge,3.60,6.00,X,12.80,8.70,11.00,
Dodge,6.20,8.00,Z,17.60,10.70,14.50,
Dodge,6.20,8.00,Z,18.10,11.40,15.10,
Dodge,6.20,8.00,Z,17.60,10.70,14.50,
Dodge,3.60,6.00,X,13.70,9.00,11.60,
Dodge,3.60,6.00,X,13.70,9.00,11.60,
Dodge,3.60,6.00,E,18.90,12.70,16.10,
Dodge,3.60,6.00,X,12.40,7.80,10.30,
Dodge,3.60,6.00,X,12.40,7.80,10.30,
Dodge,3.60,6.00,E,17.10,10.60,14.20,
Dodge,5.70,8.00,X,15.60,9.70,12.90,
Dodge,5.70,8.00,X,14.70,9.40,12.30,
Dodge,6.40,8.00,Z,15.80,9.60,13.00,
Dodge,3.60,6.00,X,12.80,8.70,11.00,
Dodge,3.60,6.00,X,12.80,8.70,11.00,
Dodge,3.60,6.00,E,17.60,12.00,15.00,
Dodge,5.70,8.00,X,16.00,10.10,13.30,
Dodge,6.20,8.00,Z,17.60,10.70,14.50,
Dodge,3.60,6.00,X,12.70,9.60,11.30,
Dodge,5.70,8.00,X,16.70,10.90,14.10,
Dodge,6.40,8.00,Z,18.30,12.20,15.60,
Dodge,3.60,6.00,X,13.70,9.40,11.80,
Dodge,3.60,6.00,E,19.40,13.30,16.70,
Dodge,2.40,4.00,X,12.70,9.20,11.10,
Dodge,3.60,6.00,X,14.20,9.50,12.10,
Dodge,3.60,6.00,E,19.10,13.20,16.40,
Dodge,3.60,6.00,X,14.50,10.00,12.40,
FIAT,1.40,4.00,X,9.30,6.50,8.00,
FIAT,1.40,4.00,X,9.00,6.70,7.90,
FIAT,1.40,4.00,X,9.70,7.40,8.70,
FIAT,1.40,4.00,X,8.50,7.10,7.90,
FIAT,1.40,4.00,X,10.70,7.90,9.40,
FIAT,1.30,4.00,X,10.00,7.90,9.10,
Ford,1.00,3.00,X,8.60,8.10,8.40,
Ford,2.00,4.00,X,10.20,8.00,9.30,
Ford,2.00,4.00,X,10.90,8.00,9.60,
Ford,2.00,4.00,X,11.40,8.30,10.00,
Ford,2.70,6.00,X,12.60,9.20,11.00,
Ford,1.50,4.00,X,10.20,7.80,9.10,
Ford,2.50,4.00,X,11.00,8.00,9.60,
Ford,2.50,4.00,E,15.00,10.80,13.10,
Ford,1.50,4.00,X,11.20,8.40,9.90,
Ford,2.00,4.00,X,11.50,8.70,10.20,
