Merk,EngineSize,Cylinders,FuelType,FuelC
12.00,3.60,6.00,4.00,14.20
12.00,5.70,8.00,2.00,12.90
12.00,5.70,8.00,2.00,12.30
12.00,6.40,8.00,1.00,13.00
12.00,3.60,6.00,2.00,11.00
12.00,3.60,6.00,2.00,11.00
12.00,3.60,6.00,4.00,15.00
12.00,5.70,8.00,2.00,13.30
12.00,6.20,8.00,1.00,14.50
12.00,3.60,6.00,2.00,11.30
12.00,5.70,8.00,2.00,14.10
12.00,6.40,8.00,1.00,15.60
12.00,3.60,6.00,2.00,11.80
12.00,3.60,6.00,4.00,16.70
12.00,2.40,4.00,2.00,11.10
12.00,3.60,6.00,2.00,12.10
12.00,3.60,6.00,4.00,16.40
12.00,3.60,6.00,2.00,12.40
13.00,1.40,4.00,2.00,8.00
13.00,1.40,4.00,2.00,7.90
13.00,1.40,4.00,2.00,8.70
13.00,1.40,4.00,2.00,7.90
13.00,1.40,4.00,2.00,9.40
13.00,1.30,4.00,2.00,9.10
14.00,1.00,3.00,2.00,8.40
14.00,2.00,4.00,2.00,9.30
14.00,2.00,4.00,2.00,9.60
14.00,2.00,4.00,2.00,10.00
14.00,2.70,6.00,2.00,11.00
14.00,1.50,4.00,2.00,9.10
14.00,2.50,4.00,2.00,9.60
14.00,2.50,4.00,4.00,13.10
14.00,1.50,4.00,2.00,9.90
14.00,2.00,4.00,2.00,10.20
14.00,3.50,6.00,2.00,12.50
14.00,3.50,6.00,2.00,13.10
14.00,2.30,4.00,2.00,11.40
14.00,3.50,6.00,2.00,13.20
14.00,3.50,6.00,2.00,12.70
14.00,3.50,6.00,4.00,17.30
14.00,2.70,6.00,2.00,10.60
14.00,2.70,6.00,2.00,11.10
14.00,2.70,6.00,2.00,11.10
14.00,3.00,6.00,3.00,9.50
14.00,3.00,6.00,3.00,9.70
14.00,3.30,6.00,2.00,10.90
14.00,3.30,6.00,4.00,14.90
14.00,3.30,6.00,2.00,11.20
14.00,3.30,6.00,4.00,14.90
14.00,3.50,6.00,2.00,12.00
14.00,3.50,6.00,2.00,12.40
14.00,3.50,6.00,2.00,12.70
14.00,5.00,8.00,2.00,12.20
14.00,5.00,8.00,4.00,17.40
14.00,5.00,8.00,2.00,13.10
14.00,5.00,8.00,4.00,17.50
14.00,5.00,8.00,2.00,13.90
14.00,5.00,8.00,4.00,17.50
14.00,2.70,6.00,2.00,11.40
14.00,2.70,6.00,2.00,11.80
14.00,2.70,6.00,2.00,11.80
14.00,3.00,6.00,3.00,10.70
14.00,3.00,6.00,3.00,10.70
14.00,3.00,6.00,3.00,9.90
14.00,3.30,6.00,2.00,11.60
14.00,3.30,6.00,4.00,15.80
14.00,3.30,6.00,2.00,12.40
14.00,3.30,6.00,4.00,15.80
14.00,3.50,6.00,2.00,12.50
14.00,3.50,6.00,2.00,12.90
14.00,3.50,6.00,2.00,13.10
14.00,3.50,6.00,2.00,12.60
14.00,5.00,8.00,2.00,13.30
14.00,5.00,8.00,4.00,18.00
14.00,5.00,8.00,2.00,13.90
14.00,5.00,8.00,4.00,18.00
14.00,5.00,8.00,2.00,14.80
14.00,5.00,8.00,4.00,19.50
14.00,3.50,6.00,2.00,14.30
14.00,3.50,6.00,2.00,12.70
14.00,3.50,6.00,2.00,12.90
14.00,3.50,6.00,2.00,13.70
14.00,1.60,4.00,2.00,7.60
14.00,1.60,4.00,2.00,7.90
14.00,1.60,4.00,2.00,8.40
14.00,1.50,4.00,2.00,8.70
14.00,2.00,4.00,2.00,5.60
14.00,3.50,6.00,1.00,17.10
14.00,2.30,4.00,2.00,9.40
14.00,2.30,4.00,2.00,10.30
14.00,2.30,4.00,2.00,9.70
14.00,2.30,4.00,2.00,10.40
14.00,5.00,8.00,2.00,12.30
14.00,5.00,8.00,2.00,13.30
14.00,5.00,8.00,2.00,13.30
14.00,2.30,4.00,2.00,10.40
14.00,2.30,4.00,2.00,10.30
14.00,5.00,8.00,2.00,12.90
14.00,2.30,4.00,2.00,10.90
14.00,5.20,8.00,1.00,14.60
14.00,3.50,6.00,2.00,14.70
14.00,3.70,6.00,2.00,15.20
14.00,3.50,6.00,2.00,11.50
14.00,3.50,6.00,4.00,15.20
14.00,3.50,6.00,2.00,12.50
14.00,3.50,6.00,2.00,12.40
14.00,3.50,6.00,4.00,16.00
14.00,2.00,4.00,2.00,9.30
14.00,2.00,4.00,2.00,9.30
14.00,2.00,4.00,4.00,12.60
14.00,2.50,4.00,2.00,10.60
14.00,2.00,4.00,2.00,9.20
14.00,2.00,4.00,2.00,9.20
14.00,2.00,4.00,4.00,12.50
14.00,2.50,4.00,2.00,10.70
15.00,2.00,4.00,1.00,10.90
15.00,2.00,4.00,1.00,10.30
15.00,3.30,6.00,1.00,11.60
15.00,3.30,6.00,1.00,11.90
15.00,3.80,6.00,2.00,11.70
15.00,5.00,8.00,1.00,13.20
15.00,3.30,6.00,1.00,11.90
15.00,5.00,8.00,1.00,13.00
16.00,2.50,4.00,2.00,10.20
16.00,3.60,6.00,2.00,11.40
16.00,2.50,4.00,2.00,10.50
16.00,3.60,6.00,2.00,11.70
16.00,2.50,4.00,2.00,10.80
16.00,2.50,4.00,2.00,10.70
16.00,2.80,4.00,3.00,10.10
16.00,3.60,6.00,2.00,11.70
16.00,2.50,4.00,2.00,11.40
16.00,2.80,4.00,3.00,10.50
16.00,3.60,6.00,2.00,12.20
16.00,2.70,4.00,2.00,11.10
16.00,4.30,6.00,2.00,13.50
16.00,5.30,8.00,2.00,13.90
16.00,5.30,8.00,2.00,14.00
16.00,5.30,8.00,4.00,18.40
16.00,5.30,8.00,2.00,12.50
16.00,2.70,4.00,2.00,11.80
16.00,4.30,6.00,2.00,14.00
16.00,5.30,8.00,2.00,14.00
16.00,5.30,8.00,2.00,14.40
16.00,5.30,8.00,4.00,19.40
16.00,5.30,8.00,2.00,13.50
16.00,5.30,8.00,2.00,13.70
16.00,6.20,8.00,1.00,13.90
16.00,6.20,8.00,1.00,14.20
16.00,5.30,8.00,2.00,13.50
16.00,5.30,8.00,2.00,13.80
16.00,1.50,4.00,2.00,8.60
16.00,1.60,4.00,3.00,7.40
16.00,1.50,4.00,2.00,9.00
16.00,1.60,4.00,3.00,7.40
16.00,2.00,4.00,1.00,10.20
16.00,5.30,8.00,2.00,13.40
16.00,5.30,8.00,2.00,13.40
16.00,5.30,8.00,4.00,17.90
16.00,5.30,8.00,2.00,13.70
16.00,5.30,8.00,2.00,13.70
16.00,5.30,8.00,4.00,18.40
16.00,6.20,8.00,1.00,13.80
16.00,5.30,8.00,2.00,13.40
16.00,5.30,8.00,2.00,13.40
16.00,5.30,8.00,4.00,17.90
16.00,5.30,8.00,2.00,14.30
16.00,5.30,8.00,2.00,14.30
16.00,5.30,8.00,4.00,19.00
16.00,6.20,8.00,1.00,14.50
17.00,1.50,4.00,2.00,7.20
17.00,1.50,4.00,2.00,7.60
17.00,1.50,4.00,2.00,7.90
17.00,2.00,4.00,2.00,9.20
17.00,2.00,4.00,2.00,9.10
17.00,2.00,4.00,2.00,5.00
17.00,1.50,4.00,2.00,7.20
17.00,2.00,4.00,2.00,7.10
17.00,2.00,4.00,2.00,7.50
17.00,2.00,4.00,2.00,8.10
17.00,1.50,4.00,1.00,7.40
17.00,1.50,4.00,2.00,6.90
17.00,1.50,4.00,2.00,7.30
17.00,1.50,4.00,2.00,7.20
17.00,1.50,4.00,1.00,7.30
17.00,1.50,4.00,1.00,7.20
17.00,1.50,4.00,2.00,7.10
17.00,2.00,4.00,2.00,7.10
